Id,,,,,,,,,,,,,,,,,,,,
Id,blueprint_compat,config,cost,cost_mult,discovered,effect,enhancement_gate,eternal_compat,name,no_pool_flag,order,perishable_compat,pos,rarity,set,soul_pos,start_alerted,unlock_condition,unlocked,yes_pool_flag
j_duo,TRUE,j_duo,8,1,FALSE,X1.5 Mult,,TRUE,The Duo,,131,TRUE,"{5,4}",3,Joker,,FALSE,j_duo,FALSE,
j_trio,TRUE,j_trio,8,1,FALSE,X2 Mult,,TRUE,The Trio,,132,TRUE,"{6,4}",3,Joker,,FALSE,j_trio,FALSE,
j_delayed_grat,FALSE,j_delayed_grat,4,1,FALSE,Discard dollars,,TRUE,Delayed Gratification,,35,TRUE,"{4,3}",1,Joker,,FALSE,,TRUE,
j_family,TRUE,j_family,8,1,FALSE,X3 Mult,,TRUE,The Family,,133,TRUE,"{7,4}",3,Joker,,FALSE,j_family,FALSE,
j_hack,TRUE,j_hack,6,1,FALSE,Low Card double,,TRUE,Hack,,36,TRUE,"{5,2}",2,Joker,,FALSE,,TRUE,
j_order,TRUE,j_order,8,1,FALSE,X3 Mult,,TRUE,The Order,,134,TRUE,"{8,4}",3,Joker,,FALSE,j_order,FALSE,
j_pareidolia,FALSE,j_pareidolia,5,1,FALSE,All face cards,,TRUE,Pareidolia,,37,TRUE,"{6,3}",2,Joker,,FALSE,,TRUE,
j_tribe,TRUE,j_tribe,8,1,FALSE,X3 Mult,,TRUE,The Tribe,,135,TRUE,"{9,4}",3,Joker,,FALSE,j_tribe,FALSE,
j_stuntman,TRUE,j_stuntman,7,0,FALSE,,,TRUE,Stuntman,,136,TRUE,"{8,6}",3,Joker,,FALSE,j_stuntman,FALSE,
j_invisible,FALSE,j_invisible,8,0,FALSE,,,FALSE,Invisible Joker,,137,TRUE,"{1,7}",3,Joker,,FALSE,j_invisible,FALSE,
j_even_steven,TRUE,j_even_steven,4,1,FALSE,Even Card Buff,,TRUE,Even Steven,,39,TRUE,"{8,3}",1,Joker,,FALSE,,TRUE,
j_satellite,FALSE,j_satellite,6,0,FALSE,,,TRUE,Satellite,,139,TRUE,"{8,7}",2,Joker,,FALSE,j_satellite,FALSE,
j_odd_todd,TRUE,j_odd_todd,4,1,FALSE,Odd Card Buff,,TRUE,Odd Todd,,40,TRUE,"{9,3}",1,Joker,,FALSE,,TRUE,
j_shoot_the_moon,TRUE,j_shoot_the_moon,5,0,FALSE,,,TRUE,Shoot the Moon,,140,TRUE,"{2,6}",1,Joker,,FALSE,j_shoot_the_moon,FALSE,
j_scholar,TRUE,j_scholar,4,1,FALSE,Ace Buff,,TRUE,Scholar,,41,TRUE,"{0,4}",1,Joker,,FALSE,,TRUE,
j_business,TRUE,j_business,4,1,FALSE,Face Card dollar Chance,,TRUE,Business Card,,42,TRUE,"{1,4}",1,Joker,,FALSE,,TRUE,
j_supernova,TRUE,j_supernova,5,1,FALSE,Hand played mult,,TRUE,Supernova,,43,TRUE,"{2,4}",1,Joker,,FALSE,,TRUE,
j_ride_the_bus,TRUE,j_ride_the_bus,6,0,FALSE,,,TRUE,Ride the Bus,,44,FALSE,"{1,6}",1,Joker,,FALSE,j_ride_the_bus,TRUE,
j_space,TRUE,j_space,5,1,FALSE,Upgrade Hand chance,,TRUE,Space Joker,,45,TRUE,"{3,5}",2,Joker,,FALSE,,TRUE,
j_egg,FALSE,j_egg,4,0,FALSE,,,TRUE,Egg,,46,TRUE,"{0,10}",1,Joker,,FALSE,,TRUE,
j_burglar,TRUE,j_burglar,6,0,FALSE,,,TRUE,Burglar,,47,TRUE,"{1,10}",2,Joker,,FALSE,,TRUE,
j_blackboard,TRUE,j_blackboard,6,0,FALSE,,,TRUE,Blackboard,,48,TRUE,"{2,10}",2,Joker,,FALSE,,TRUE,
j_runner,TRUE,j_runner,5,0,FALSE,,,TRUE,Runner,,49,FALSE,"{3,10}",1,Joker,,FALSE,,TRUE,
j_ice_cream,TRUE,j_ice_cream,5,0,FALSE,,,FALSE,Ice Cream,,50,TRUE,"{4,10}",1,Joker,,FALSE,,TRUE,
j_dna,TRUE,j_dna,8,0,FALSE,,,TRUE,DNA,,51,TRUE,"{5,10}",3,Joker,,FALSE,,TRUE,
j_splash,FALSE,j_splash,3,0,FALSE,,,TRUE,Splash,,52,TRUE,"{6,10}",1,Joker,,FALSE,,TRUE,
j_blue_joker,TRUE,j_blue_joker,5,0,FALSE,,,TRUE,Blue Joker,,53,TRUE,"{7,10}",1,Joker,,FALSE,,TRUE,
j_sixth_sense,FALSE,j_sixth_sense,6,0,FALSE,,,TRUE,Sixth Sense,,54,TRUE,"{8,10}",2,Joker,,FALSE,,TRUE,
j_constellation,TRUE,j_constellation,6,0,FALSE,,,TRUE,Constellation,,55,FALSE,"{9,10}",2,Joker,,FALSE,,TRUE,
j_hiker,TRUE,j_hiker,5,0,FALSE,,,TRUE,Hiker,,56,TRUE,"{0,11}",2,Joker,,FALSE,,TRUE,
j_faceless,TRUE,j_faceless,4,0,FALSE,,,TRUE,Faceless Joker,,57,TRUE,"{1,11}",1,Joker,,FALSE,,TRUE,
j_green_joker,TRUE,j_green_joker,4,0,FALSE,,,TRUE,Green Joker,,58,FALSE,"{2,11}",1,Joker,,FALSE,,TRUE,
j_superposition,TRUE,j_superposition,4,0,FALSE,,,TRUE,Superposition,,59,TRUE,"{3,11}",1,Joker,,FALSE,,TRUE,
j_todo_list,TRUE,j_todo_list,4,0,FALSE,,,TRUE,To Do List,,60,TRUE,"{4,11}",1,Joker,,FALSE,,TRUE,
j_cavendish,TRUE,j_cavendish,4,1,FALSE,,,FALSE,Cavendish,,61,TRUE,"{5,11}",1,Joker,,FALSE,,TRUE,gros_michel_extinct
j_card_sharp,TRUE,j_card_sharp,6,1,FALSE,,,TRUE,Card Sharp,,62,TRUE,"{6,11}",2,Joker,,FALSE,,TRUE,
j_red_card,TRUE,j_red_card,5,1,FALSE,,,TRUE,Red Card,,63,FALSE,"{7,11}",1,Joker,,FALSE,,TRUE,
j_madness,TRUE,j_madness,7,1,FALSE,,,TRUE,Madness,,64,FALSE,"{8,11}",2,Joker,,FALSE,,TRUE,
j_square,TRUE,j_square,4,1,FALSE,,,TRUE,Square Joker,,65,FALSE,"{9,11}",1,Joker,,FALSE,,TRUE,
j_seance,TRUE,j_seance,6,1,FALSE,,,TRUE,Seance,,66,TRUE,"{0,12}",2,Joker,,FALSE,,TRUE,
j_riff_raff,TRUE,j_riff_raff,6,1,FALSE,,,TRUE,Riff-raff,,67,TRUE,"{1,12}",1,Joker,,FALSE,,TRUE,
j_vampire,TRUE,j_vampire,7,0,FALSE,,,TRUE,Vampire,,68,FALSE,"{2,12}",2,Joker,,FALSE,,TRUE,
j_joker,TRUE,j_joker,2,1,TRUE,Mult,,TRUE,Joker,,1,TRUE,"{0,0}",1,Joker,,TRUE,,TRUE,
j_shortcut,FALSE,j_shortcut,7,0,FALSE,,,TRUE,Shortcut,,69,TRUE,"{3,12}",2,Joker,,FALSE,,TRUE,
j_hologram,TRUE,j_hologram,7,0,FALSE,,,TRUE,Hologram,,70,FALSE,"{4,12}",2,Joker,"{x=2,y=9}",FALSE,,TRUE,
j_vagabond,TRUE,j_vagabond,8,0,FALSE,,,TRUE,Vagabond,,71,TRUE,"{5,12}",3,Joker,,FALSE,,TRUE,
j_baron,TRUE,j_baron,8,0,FALSE,,,TRUE,Baron,,72,TRUE,"{6,12}",3,Joker,,FALSE,,TRUE,
j_cloud_9,FALSE,j_cloud_9,7,0,FALSE,,,TRUE,Cloud 9,,73,TRUE,"{7,12}",2,Joker,,FALSE,,TRUE,
j_rocket,FALSE,j_rocket,6,0,FALSE,,,TRUE,Rocket,,74,FALSE,"{8,12}",2,Joker,,FALSE,,TRUE,
j_lusty_joker,TRUE,j_lusty_joker,5,1,FALSE,Suit Mult,,TRUE,Lusty Joker,,3,TRUE,"{7,1}",1,Joker,,FALSE,,TRUE,
j_blueprint,TRUE,j_blueprint,10,1,FALSE,Copycat,,TRUE,Blueprint,,123,TRUE,"{0,3}",3,Joker,,FALSE,j_blueprint,FALSE,
j_obelisk,TRUE,j_obelisk,8,0,FALSE,,,TRUE,Obelisk,,75,FALSE,"{9,12}",3,Joker,,FALSE,,TRUE,
j_midas_mask,FALSE,j_midas_mask,7,0,FALSE,,,TRUE,Midas Mask,,76,TRUE,"{0,13}",2,Joker,,FALSE,,TRUE,
j_mystic_summit,TRUE,j_mystic_summit,5,1,FALSE,No Discard Mult,,TRUE,Mystic Summit,,23,TRUE,"{2,2}",1,Joker,,FALSE,,TRUE,
j_luchador,TRUE,j_luchador,5,0,FALSE,,,FALSE,Luchador,,77,TRUE,"{1,13}",2,Joker,,FALSE,,TRUE,
j_sock_and_buskin,TRUE,j_sock_and_buskin,6,1,FALSE,Face card double,,TRUE,Sock and Buskin,,109,TRUE,"{3,1}",2,Joker,,FALSE,j_sock_and_buskin,FALSE,
j_photograph,TRUE,j_photograph,5,0,FALSE,,,TRUE,Photograph,,78,TRUE,"{2,13}",1,Joker,,FALSE,,TRUE,
j_credit_card,FALSE,j_credit_card,1,1,FALSE,Credit,,TRUE,Credit Card,,20,TRUE,"{5,1}",1,Joker,,FALSE,,TRUE,
j_gift,FALSE,j_gift,6,0,FALSE,,,TRUE,Gift Card,,79,TRUE,"{3,13}",2,Joker,,FALSE,,TRUE,
j_zany,TRUE,j_zany,4,1,FALSE,Type Mult,,TRUE,Zany Joker,,7,TRUE,"{3,0}",1,Joker,,FALSE,,TRUE,
j_turtle_bean,FALSE,j_turtle_bean,6,0,FALSE,,,FALSE,Turtle Bean,,80,TRUE,"{4,13}",2,Joker,,FALSE,,TRUE,
j_half,TRUE,j_half,5,1,FALSE,Hand Size Mult,,TRUE,Half Joker,,16,TRUE,"{7,0}",1,Joker,,FALSE,,TRUE,
j_mad,TRUE,j_mad,4,1,FALSE,Type Mult,,TRUE,Mad Joker,,8,TRUE,"{4,0}",1,Joker,,FALSE,,TRUE,
j_erosion,TRUE,j_erosion,6,0,FALSE,,,TRUE,Erosion,,81,TRUE,"{5,13}",2,Joker,,FALSE,,TRUE,
j_sly,TRUE,j_sly,3,0,FALSE,,,TRUE,Sly Joker,,11,TRUE,"{0,14}",1,Joker,,FALSE,,TRUE,
j_reserved_parking,TRUE,j_reserved_parking,6,0,FALSE,,,TRUE,Reserved Parking,,82,TRUE,"{6,13}",1,Joker,,FALSE,,TRUE,
j_wrathful_joker,TRUE,j_wrathful_joker,5,1,FALSE,Suit Mult,,TRUE,Wrathful Joker,,4,TRUE,"{8,1}",1,Joker,,FALSE,,TRUE,
j_mail,TRUE,j_mail,4,0,FALSE,,,TRUE,Mail-In Rebate,,83,TRUE,"{7,13}",1,Joker,,FALSE,,TRUE,
j_droll,TRUE,j_droll,4,1,FALSE,Type Mult,,TRUE,Droll Joker,,10,TRUE,"{6,0}",1,Joker,,FALSE,,TRUE,
j_to_the_moon,FALSE,j_to_the_moon,5,0,FALSE,,,TRUE,To the Moon,,84,TRUE,"{8,13}",2,Joker,,FALSE,,TRUE,
j_jolly,TRUE,j_jolly,3,1,FALSE,Type Mult,,TRUE,Jolly Joker,,6,TRUE,"{2,0}",1,Joker,,FALSE,,TRUE,
j_hallucination,TRUE,j_hallucination,4,0,FALSE,,,TRUE,Hallucination,,85,TRUE,"{9,13}",1,Joker,,FALSE,,TRUE,
j_perkeo,TRUE,j_perkeo,20,0,FALSE,,,TRUE,Perkeo,,150,TRUE,"{7,8}",4,Joker,"{x=7,y=9}",FALSE,j_perkeo,FALSE,
j_fortune_teller,TRUE,j_fortune_teller,6,0,FALSE,,,TRUE,Fortune Teller,,86,TRUE,"{7,5}",1,Joker,,FALSE,,TRUE,
j_wily,TRUE,j_wily,4,0,FALSE,,,TRUE,Wily Joker,,12,TRUE,"{1,14}",1,Joker,,FALSE,,TRUE,
j_juggler,FALSE,j_juggler,4,1,FALSE,Hand Size,,TRUE,Juggler,,87,TRUE,"{0,1}",1,Joker,,FALSE,,TRUE,
j_clever,TRUE,j_clever,4,0,FALSE,,,TRUE,Clever Joker,,13,TRUE,"{2,14}",1,Joker,,FALSE,,TRUE,
j_gluttenous_joker,TRUE,j_gluttenous_joker,5,1,FALSE,Suit Mult,,TRUE,Gluttonous Joker,,5,TRUE,"{9,1}",1,Joker,,FALSE,,TRUE,
j_drunkard,FALSE,j_drunkard,4,1,FALSE,Discard Size,,TRUE,Drunkard,,88,TRUE,"{1,1}",1,Joker,,FALSE,,TRUE,
j_astronomer,FALSE,j_astronomer,8,0,FALSE,,,TRUE,Astronomer,,143,TRUE,"{2,7}",2,Joker,,FALSE,j_astronomer,FALSE,
j_crafty,TRUE,j_crafty,4,0,FALSE,,,TRUE,Crafty Joker,,15,TRUE,"{4,14}",1,Joker,,FALSE,,TRUE,
j_greedy_joker,TRUE,j_greedy_joker,5,1,FALSE,Suit Mult,,TRUE,Greedy Joker,,2,TRUE,"{6,1}",1,Joker,,FALSE,,TRUE,
j_stone,TRUE,j_stone,6,1,FALSE,Stone Card Buff,m_stone,TRUE,Stone Joker,,89,TRUE,"{9,0}",2,Joker,,FALSE,,TRUE,
j_brainstorm,TRUE,j_brainstorm,10,0,FALSE,Copycat,,TRUE,Brainstorm,,138,TRUE,"{7,7}",3,Joker,,FALSE,j_brainstorm,FALSE,
j_crazy,TRUE,j_crazy,4,1,FALSE,Type Mult,,TRUE,Crazy Joker,,9,TRUE,"{5,0}",1,Joker,,FALSE,,TRUE,
j_stencil,TRUE,j_stencil,8,1,FALSE,Hand Size Mult,,TRUE,Joker Stencil,,17,TRUE,"{2,5}",2,Joker,,FALSE,,TRUE,
j_golden,FALSE,j_golden,6,1,FALSE,Bonus dollars,,TRUE,Golden Joker,,90,TRUE,"{9,2}",1,Joker,,FALSE,,TRUE,
j_four_fingers,FALSE,j_four_fingers,7,0,FALSE,,,TRUE,Four Fingers,,18,TRUE,"{6,6}",2,Joker,,FALSE,,TRUE,
j_trousers,TRUE,j_trousers,6,0,FALSE,,,TRUE,Spare Trousers,,98,FALSE,"{4,15}",2,Joker,,FALSE,,TRUE,
j_mime,TRUE,j_mime,5,1,FALSE,Hand card double,,TRUE,Mime,,19,TRUE,"{4,1}",2,Joker,,FALSE,,TRUE,
j_yorick,TRUE,j_yorick,20,0,FALSE,,,TRUE,Yorick,,148,TRUE,"{5,8}",4,Joker,"{x=5,y=9}",FALSE,j_yorick,FALSE,
j_gros_michel,TRUE,j_gros_michel,5,0,FALSE,,,FALSE,Gros Michel,gros_michel_extinct,38,TRUE,"{7,6}",1,Joker,,FALSE,,TRUE,
j_baseball,TRUE,j_baseball,8,0,FALSE,,,TRUE,Baseball Card,,92,TRUE,"{6,14}",3,Joker,,FALSE,,TRUE,
j_lucky_cat,TRUE,j_lucky_cat,6,0,FALSE,,m_lucky,TRUE,Lucky Cat,,91,FALSE,"{5,14}",2,Joker,,FALSE,,TRUE,
j_bull,TRUE,j_bull,6,0,FALSE,,,TRUE,Bull,,93,TRUE,"{7,14}",2,Joker,,FALSE,,TRUE,
j_ceremonial,TRUE,j_ceremonial,6,0,FALSE,,,TRUE,Ceremonial Dagger,,21,FALSE,"{5,5}",2,Joker,,FALSE,,TRUE,
j_diet_cola,TRUE,j_diet_cola,6,0,FALSE,,,FALSE,Diet Cola,,94,TRUE,"{8,14}",2,Joker,,FALSE,,TRUE,
j_banner,TRUE,j_banner,5,1,FALSE,Discard Chips,,TRUE,Banner,,22,TRUE,"{1,2}",1,Joker,,FALSE,,TRUE,
j_trading,FALSE,j_trading,6,0,FALSE,,,TRUE,Trading Card,,95,TRUE,"{9,14}",2,Joker,,FALSE,,TRUE,
j_merry_andy,FALSE,j_merry_andy,7,1,FALSE,,,TRUE,Merry Andy,,125,TRUE,"{8,0}",2,Joker,,FALSE,j_merry_andy,FALSE,
j_flash,TRUE,j_flash,5,0,FALSE,,,TRUE,Flash Card,,96,FALSE,"{0,15}",2,Joker,,FALSE,,TRUE,
j_castle,TRUE,j_castle,6,0,FALSE,,,TRUE,Castle,,103,FALSE,"{9,15}",2,Joker,,FALSE,,TRUE,
j_popcorn,TRUE,j_popcorn,5,0,FALSE,,,FALSE,Popcorn,,97,TRUE,"{1,15}",1,Joker,,FALSE,,TRUE,
j_devious,TRUE,j_devious,4,0,FALSE,,,TRUE,Devious Joker,,14,TRUE,"{3,14}",1,Joker,,FALSE,,TRUE,
