Id,,,,,,,,,,,
Id,amount,ante,chips,deck,extra,hidden,n_rounds,planet_count,stake,tarot_count,type
b_checkered,0,0,0,b_black,,FALSE,0,0,0,0,win_deck
j_flower_pot,0,8,0,,,FALSE,0,0,0,0,ante_up
j_mr_bones,0,0,0,,5,FALSE,0,0,0,0,c_losses
j_wee,0,0,0,,,FALSE,18,0,0,0,win
j_merry_andy,0,0,0,,,FALSE,12,0,0,0,win
j_oops,0,0,10000,,,FALSE,0,0,0,0,chip_score
j_swashbuckler,0,0,0,,20,FALSE,0,0,0,0,c_jokers_sold
j_idol,0,0,1000000,,,FALSE,0,0,0,0,chip_score
j_seeing_double,0,0,0,,'four 7 of Clubs',FALSE,0,0,0,0,hand_contents
b_painted,0,0,0,,,FALSE,0,0,3,0,win_stake
b_anaglyph,0,0,0,,,FALSE,0,0,4,0,win_stake
b_plasma,0,0,0,,,FALSE,0,0,5,0,win_stake
b_erratic,0,0,0,,,FALSE,0,0,7,0,win_stake
j_trio,0,0,0,,'Three of a Kind',FALSE,0,0,0,0,win_no_hand
j_family,0,0,0,,'Four of a Kind',FALSE,0,0,0,0,win_no_hand
j_astronomer,0,0,0,,,FALSE,0,12,0,0,discover_amount
b_ghost,0,0,0,b_yellow,,FALSE,0,0,0,0,win_deck
j_satellite,0,0,0,,400,FALSE,0,0,0,0,money
j_order,0,0,0,,'Straight',FALSE,0,0,0,0,win_no_hand
j_matador,0,0,0,,,FALSE,0,0,0,0,round_win
j_tribe,0,0,0,,'Flush',FALSE,0,0,0,0,win_no_hand
j_duo,0,0,0,,'Pair',FALSE,0,0,0,0,win_no_hand
j_stuntman,0,0,100000000,,,FALSE,0,0,0,0,chip_score
j_hit_the_road,0,0,0,,,FALSE,0,0,0,0,discard_custom
j_invisible,0,0,0,,,FALSE,0,0,0,0,win_custom
j_smeared,0,0,0,,"{e_key='m_wild',count=3,enhancement='Wild Card'}",FALSE,0,0,0,0,modify_deck
j_brainstorm,0,0,0,,,FALSE,0,0,0,0,discard_custom
b_zodiac,0,0,0,,,FALSE,0,0,2,0,win_stake
v_overstock_plus,0,0,0,,2500,FALSE,0,0,0,0,c_shop_dollars_spent
v_nacho_tong,0,0,0,,2500,FALSE,0,0,0,0,c_cards_played
v_tarot_tycoon,0,0,0,,50,FALSE,0,0,0,0,c_tarots_bought
j_shoot_the_moon,0,0,0,,,FALSE,0,0,0,0,play_all_hearts
b_abandoned,0,0,0,b_green,,FALSE,0,0,0,0,win_deck
v_glow_up,0,0,0,,5,FALSE,0,0,0,0,have_edition
j_drivers_license,0,0,0,,"{count=16,tally='total'}",FALSE,0,0,0,0,modify_deck
j_troubadour,0,0,0,,5,FALSE,0,0,0,0,round_win
j_dusk,0,0,0,,'',TRUE,0,0,0,0,
v_reroll_glut,0,0,0,,100,FALSE,0,0,0,0,c_shop_rerolls
j_cartomancer,0,0,0,,,FALSE,0,0,0,22,discover_amount
j_certificate,0,0,0,,,FALSE,0,0,0,0,double_gold
v_omen_globe,0,0,0,,25,FALSE,0,0,0,0,c_tarot_reading_used
j_sock_and_buskin,0,0,0,,300,FALSE,0,0,0,0,c_face_cards_played
v_liquidation,0,0,0,,10,FALSE,0,0,0,0,run_redeem
v_observatory,0,0,0,,25,FALSE,0,0,0,0,c_planetarium_used
j_ride_the_bus,0,0,0,,,FALSE,0,0,0,0,discard_custom
j_bootstraps,0,0,0,,"{polychrome=true,count=2}",FALSE,0,0,0,0,modify_jokers
j_burnt,0,0,0,,50,FALSE,0,0,0,0,c_cards_sold
j_acrobat,0,0,0,,200,FALSE,0,0,0,0,c_hands_played
