Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Xmult,ante_scaling,bonus,choose,consumable_slot,consumables,d_size,discards,dollars,extra,extra_discard_bonus,extra_disp,extra_hand_bonus,h_dollars,h_size,h_x_mult,hand_size,hand_type,hands,joker_slot,max_highlighted,min_highlighted,mod_conv,mult,no_interest,p_dollars,planets,randomize_rank_suit,remove_card,remove_faces,softlock,spectral_rate,suit_conv,t_chips,t_mult,tarots,type,voucher,vouchers
c_base,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_saturn,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,Straight,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_8_ball,0,0,0,0,0,{},0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_uranus,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,Two Pair,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_ticket,0,0,0,0,0,{},0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_misprint,0,0,0,0,0,{},0,0,0,"{max=23,min=0}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_pluto,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,High Card,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_dusk,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_joker,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,4,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_nacho_tong,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_raised_fist,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_ceres,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,Flush House,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,0,,0,0,0,,,{}
j_acrobat,0,0,0,0,0,{},0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_chaos,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_tarot_tycoon,0,0,0,0,0,{},0,0,0,8,0,4,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_greedy_joker,0,0,0,0,0,{},0,0,0,"{suit='Diamonds',s_mult=3}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_fibonacci,0,0,0,0,0,{},0,0,0,8,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_familiar,0,0,0,0,0,{},0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,TRUE,FALSE,FALSE,0,,0,0,0,,,{}
j_steel_joker,0,0,0,0,0,{},0,0,0,0.2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_lusty_joker,0,0,0,0,0,{},0,0,0,"{suit='Hearts',s_mult=3}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_incantation,0,0,0,0,0,{},0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,TRUE,FALSE,FALSE,0,,0,0,0,,,{}
j_wrathful_joker,0,0,0,0,0,{},0,0,0,"{suit='Spades',s_mult=3}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_antimatter,0,0,0,0,0,{},0,0,0,15,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_troubadour,0,0,0,0,0,{},0,0,0,"{h_plays=-1,h_size=2}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_aura,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_jolly,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,8,0,Pair,,{}
j_abstract,0,0,0,0,0,{},0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_certificate,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_delayed_grat,0,0,0,0,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_ouija,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_smeared,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_hack,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_palette,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_immolate,0,0,0,0,0,{},0,0,0,"{dollars=20,destroy=5}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,TRUE,FALSE,FALSE,0,,0,0,0,,,{}
j_pareidolia,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_ankh,0,0,0,0,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_gros_michel,0,0,0,0,0,{},0,0,0,"{odds=6,mult=15}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
b_blue,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,1,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_hex,0,0,0,0,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_even_steven,0,0,0,0,0,{},0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_trance,0,0,0,0,0,{},0,0,0,'Blue',0,0,0,0,0,0,0,,0,0,1,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
b_yellow,0,0,0,0,0,{},0,0,10,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_odd_todd,0,0,0,0,0,{},0,0,0,31,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_medium,0,0,0,0,0,{},0,0,0,'Purple',0,0,0,0,0,0,0,,0,0,1,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_scholar,0,0,0,0,0,{},0,0,0,"{chips=20,mult=4}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_cryptid,0,0,0,0,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,1,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_soul,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_business,0,0,0,0,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_black_hole,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_supernova,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_overstock_norm,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_ride_the_bus,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
b_nebula,0,0,0,0,-1,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,v_telescope,{}
j_space,0,0,0,0,0,{},0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
b_ghost,0,0,0,0,0,{'c_hex'},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,2,,0,0,0,,,{}
b_abandoned,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,TRUE,FALSE,0,,0,0,0,,,{}
b_checkered,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
b_zodiac,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,"{'v_tarot_merchant','v_planet_merchant','v_overstock_norm'}"
b_painted,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,2,,0,-1,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
b_anaglyph,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
b_plasma,0,2,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
p_standard_jumbo_1,0,0,0,1,0,{},0,0,0,5,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
p_standard_jumbo_2,0,0,0,1,0,{},0,0,0,5,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
p_standard_mega_1,0,0,0,2,0,{},0,0,0,5,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
p_standard_mega_2,0,0,0,2,0,{},0,0,0,5,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
p_buffoon_normal_1,0,0,0,1,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
p_buffoon_normal_2,0,0,0,1,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
p_buffoon_jumbo_1,0,0,0,1,0,{},0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
p_buffoon_mega_1,0,0,0,2,0,{},0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_clearance_sale,0,0,0,0,0,{},0,0,0,25,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_hone,0,0,0,0,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_reroll_surplus,0,0,0,0,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_crystal_ball,0,0,0,0,0,{},0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_telescope,0,0,0,0,0,{},0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_grabber,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_wasteful,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_judgement,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_blank,0,0,0,0,0,{},0,0,0,5,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_loyalty_card,0,0,0,0,0,{},0,0,0,"{remaining='5 remaining',Xmult=4,every=5}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_seed_money,0,0,0,0,0,{},0,0,0,50,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_blueprint,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_gluttenous_joker,0,0,0,0,0,{},0,0,0,"{suit='Clubs',s_mult=3}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_planet_merchant,0,0,0,0,0,{},0,0,0,2.4,0,2,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_magic_trick,0,0,0,0,0,{},0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_ramen,2,0,0,0,0,{},0,0,0,0.01,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_tarot_merchant,0,0,0,0,0,{},0,0,0,2.4,0,2,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
e_negative,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
b_magic,0,0,0,0,0,"{'c_fool','c_fool'}",0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,v_crystal_ball,{}
c_tower,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,1,0,m_stone,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
b_red,0,0,0,0,0,{},0,1,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
e_foil,0,0,0,0,0,{},0,0,0,50,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_sock_and_buskin,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_half,0,0,0,0,0,{},0,0,0,"{size=3,mult=20}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_swashbuckler,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,1,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
e_holo,0,0,0,0,0,{},0,0,0,10,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_temperance,0,0,0,0,0,{},0,0,0,50,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_hanging_chad,0,0,0,0,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_devious,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,100,0,0,Straight,,{}
e_polychrome,0,0,0,0,0,{},0,0,0,1.5,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_reroll_glut,0,0,0,0,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_venus,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,Three of a Kind,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
p_celestial_normal_1,0,0,0,1,0,{},0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_wily,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,100,0,0,Three of a Kind,,{}
v_paint_brush,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_hieroglyph,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_hanged_man,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,2,0,,0,FALSE,0,0,FALSE,TRUE,FALSE,FALSE,0,,0,0,0,,,{}
v_omen_globe,0,0,0,0,0,{},0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_order,3,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,Straight,,{}
c_strength,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,2,0,up_rank,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
p_standard_normal_4,0,0,0,1,0,{},0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_blackboard,0,0,0,0,0,{},0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_crazy,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,12,0,Straight,,{}
j_scary_face,0,0,0,0,0,{},0,0,0,30,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_hermit,0,0,0,0,0,{},0,0,0,20,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_hiker,0,0,0,0,0,{},0,0,0,5,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_justice,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,1,0,m_glass,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_wraith,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_chariot,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,1,0,m_steel,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_planet_x,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,Five of a Kind,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,0,,0,0,0,,,{}
m_wild,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_throwback,0,0,0,0,0,{},0,0,0,0.25,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_constellation,1,0,0,0,0,{},0,0,0,0.1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
m_bonus,0,0,30,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
b_erratic,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
